tgs2600,mq2,mq3,mq9,mq135,polymer
47,492,567,458,207,1
47,427,542,459,204,1
47,555,595,489,240,1
47,435,539,457,187,1
47,375,515,442,171,1
47,344,503,432,163,1
47,336,499,426,162,1
47,319,490,420,155,1
47,310,487,416,153,1
47,361,509,424,163,1
47,315,485,412,151,1
47,307,479,408,148,1
47,324,482,416,151,1
47,301,475,410,147,1
47,289,472,406,145,1
47,298,471,404,145,1
47,340,484,408,152,1
47,314,479,405,149,1
47,295,472,402,145,1
47,284,469,399,143,1
47,281,469,398,144,1
47,278,468,396,143,1
47,444,508,426,187,1
47,448,504,436,172,1
47,367,485,422,159,1
47,324,474,412,149,1
47,305,471,407,146,1
47,294,468,403,144,1
47,282,464,400,142,1
47,279,462,399,140,1
47,276,462,397,140,1
47,268,459,394,138,1
47,266,459,393,138,1
47,300,458,400,138,1
47,280,457,396,137,1
47,270,456,395,137,1
47,309,455,400,137,1
47,282,454,396,136,1
47,273,455,394,136,1
47,264,453,392,136,1
47,306,472,396,178,1
47,524,553,452,219,1
47,469,557,443,213,1
47,463,556,448,210,1
47,486,571,458,223,1
47,412,532,440,187,1
47,374,517,431,174,1
